973	108811	210.8
1562	410741	279.2
1016	493024	67.7
860	585818	85
1222	774907	137.2
982	858909	56.8
934	967168	106.6
579	996412	101.2
1090	1140455	140.3
763	1210497	132.1
980	1271327	63.7
1135	1344961	42.4
1073	1451040	175.3
1388	1680570	191.4
958	1788807	132.8
1044	1884590	59
1074	1950436	202
1110	2097360	110.8
1625	2427205	212.1
935	2531164	91.4
374	2547683	44.6
1505	2824855	159.5
1123	2979218	112.5
1670	3339228	198.8
1052	3457311	165.5
1637	3796159	182.2
1335	3992886	109.1
1066	4129429	133.2
651	4177640	99.3
1006	4286220	82.7
766	4355944	77.9
1310	4560199	179.9
1971	5040422	270.2
952	5141005	88.1
967	5212265	198.9
1291	5421534	135.5
484	5445642	84.5
874	5539516	103.2
1102	5592378	218.9
1832	6010485	209.9
975	6121528	143.9
1020	6248696	124.6
1268	6440115	115.2
497	6466462	51.8
814	6533158	140.3
609	6573932	106.2
883	6621407	177
1244	6813345	140.3
1248	6996618	180.1
894	7095447	118.9
1730	7451042	171.5
1228	7626485	117.8
1090	7763697	165.7
560	7803515	65.8
767	7861288	135.3
1613	8191319	198
1206	8372874	119.8
1434	8627303	161.1
1204	8805465	148.2
1043	8933635	103.7
1038	9044309	175.7
1308	9228338	103.8
1594	9542181	204.2
1034	9664597	100.1
1285	9837819	107.1
1087	9908822	212.8
1075	10044160	166.8
817	10086859	46.1
399	10106557	69.3
1770	10493459	188.7
812	10534935	166.7
915	10628828	148.5
576	10654470	49.6
713	10716504	97.1
1348	10943603	214.7
959	11016587	85
907	11072184	76.8
985	11190629	106.9
1158	11350151	227
1476	11621525	192.1
1270	11761815	81.2
983	11863393	96.3
991	11948574	70.8
656	11999425	85.9
1138	12144573	181.5
327	12157624	53.1
1277	12341352	120.5
1578	12641688	197.8
746	12680850	56.9
873	12728371	178.2
1440	12975340	191.2
987	13096460	127.2
620	13142244	111.3
1517	13431174	169.6
1228	13586714	205.2
1820	13999184	219.7
571	14035394	77.7
1328	14213749	106.1
768	14286853	101.7
1441	14552097	194.2
